"","conv","country","drop_kicks","opposition","penalties","player","points","position","result","tries","country_tier","opposition_tier","points_tries","points_convs","points_pens","points_drops"
"1264",1,"Aust",0,"England",3,"BT Foley",11,"FH","lost",0,"1","1",0,2,9,0
"1265",1,"Eng",0,"France",3,"OA Farrell",11,"C","won",0,"1","1",0,2,9,0
"1266",1,"Fra",0,"England",3,"C Lopez",11,"FH","lost",0,"1","1",0,2,9,0
"1267",1,"USA",0,"Uruguay",3,"B Cima",11,"FH","won",0,"2","2",0,2,9,0
"1268",1,"Spain",0,"Russia",3,"BD Linklater",11,"FB","won",0,"2","2",0,2,9,0
"1269",1,"Eng",0,"Wales",3,"OA Farrell",11,"C","won",0,"1","1",0,2,9,0
"1270",1,"Wales",0,"England",3,"SL Halfpenny",11,"FB","lost",0,"1","1",0,2,9,0
"1271",1,"Ire",1,"France",2,"JJ Sexton",11,"FH","won",0,"1","1",0,2,6,3
"1272",4,"Urug",0,"Chile",1,"GJ Albanell Herrera",11,"FH","won",0,"2","3",0,8,3,0
"1273",3,"Scot",0,"Italy",0,"FA Russell",11,"FH","won",1,"1","1",5,6,0,0
"1274",3,"Port",0,"Ukraine",0,"NM Penha e Costa",11,"FH","won",1,"2","3",5,6,0,0
"1275",1,"JPN",0,"Hong Kong",3,"T Yamasawa",11,"FH","won",0,"2","3",0,2,9,0
"1276",1,"Rom",0,"Japan",3,"FA Vlaicu",11,"FH","lost",0,"2","2",0,2,9,0
"1277",1,"Port",0,"Brazil",3,"NM Penha e Costa",11,"FH","lost",0,"2","3",0,2,9,0
"1278",4,"Arg",0,"England",1,"FN Sanchez",11,"FH","lost",0,"1","1",0,8,3,0
"1279",3,"Scot",0,"Australia",0,"FA Russell",11,"FH","won",1,"1","1",5,6,0,0
"1280",1,"Kenya",0,"Uganda",3,"D Mukidza Kinyangi",11,"W","draw",0,"3","3",0,2,9,0
"1281",4,"Namib",0,"Tunisia",1,"EA Jantjies",11,"FH","won",0,"2","3",0,8,3,0
"1282",1,"Can",0,"USA",3,"GA McRorie",11,"SH","lost",0,"2","2",0,2,9,0
"1283",3,"Namib",0,"Senegal",0,"TAW Kotze",11,"FH","won",1,"2","3",5,6,0,0
"1284",1,"Samoa",0,"Fiji",3,"T Pisi",11,"FH","lost",0,"2","2",0,2,9,0
"1285",4,"Namib",0,"Uganda",1,"CSJ Loubser",11,"FH","won",0,"2","3",0,8,3,0
"1286",3,"Namib",0,"Kenya",0,"CSJ Loubser",11,"FH","won",1,"2","3",5,6,0,0
"1287",4,"NZ",0,"Argentina",1,"BJ Barrett",11,"FH","won",0,"1","1",0,8,3,0
"1288",0,"Aust",0,"New Zealand",2,"R Hodge",11,"W","won",1,"1","1",5,0,6,0
"1289",1,"JPN",0,"Australia",3,"R Matsuda",11,"FH","lost",0,"2","1",0,2,9,0
"1290",0,"Germ",0,"Moldova",0,"C Grzanna",10,"C","won",2,"2","3",10,0,0,0
"1291",0,"SA",0,"Wales",0,"J Fourie",10,"C","won",2,"1","1",10,0,0,0
"1292",0,"Arg",0,"Chile",0,"S Ponce",10,"FB","won",2,"1","3",10,0,0,0
"1293",0,"Fra",0,"Scotland",0,"V Clerc",10,"W","won",2,"1","1",10,0,0,0
"1294",0,"Wales",0,"Scotland",0,"SM Williams",10,"W","won",2,"1","1",10,0,0,0
"1295",0,"Port",0,"Czech Rep",0,"JS Uva",10,"F","won",2,"2","3",10,0,0,0
"1296",0,"Wales",0,"Italy",0,"LM Byrne",10,"FB","won",2,"1","1",10,0,0,0
"1297",0,"Wales",0,"Italy",0,"SM Williams",10,"W","won",2,"1","1",10,0,0,0
"1298",0,"Ire",0,"Scotland",0,"TJ Bowe",10,"W","won",2,"1","1",10,0,0,0
"1299",0,"Russ",0,"Portugal",0,"A Gvozdovsky",10,"W","won",2,"2","2",10,0,0,0
"1300",0,"Russ",0,"Portugal",0,"A Kuzin",10,"W","won",2,"2","2",10,0,0,0
"1301",2,"Fra",0,"Italy",2,"D Yachvili",10,"SH","won",0,"1","1",0,4,6,0
"1302",2,"Wales",0,"France",2,"SM Jones",10,"FH","won",0,"1","1",0,4,6,0
"1303",0,"Rom",0,"Czech Rep",0,"C Fercu",10,"C","won",2,"2","3",10,0,0,0
"1304",1,"Georg",0,"Czech Rep",1,"L Malaguradze",10,"FH","won",1,"2","3",5,2,3,0
"1305",0,"JPN",0,"Korea",0,"T Kusumi",10,"FB","won",2,"2","3",10,0,0,0
"1306",2,"Spain",0,"Georgia",2,"M Gratton Cristol",10,"FH","lost",0,"2","2",0,4,6,0
"1307",0,"Germ",0,"Netherlands",0,"M Gungor",10,"SH","won",2,"2","3",10,0,0,0
"1308",0,"JPN",0,"Arabian Gulf",0,"T Miuchi",10,"N8","won",2,"2","3",10,0,0,0
"1309",0,"JPN",0,"Arabian Gulf",0,"BB Robins",10,"FB","won",2,"2","3",10,0,0,0
"1310",0,"JPN",0,"Arabian Gulf",0,"SJ Webb",10,"FH","won",2,"2","3",10,0,0,0
"1311",0,"JPN",0,"Kazakhstan",0,"Y Imamura",10,"C","won",2,"2","3",10,0,0,0
"1312",0,"JPN",0,"Kazakhstan",0,"BB Robins",10,"FB","won",2,"2","3",10,0,0,0
"1313",0,"JPN",0,"Kazakhstan",0,"H Yoshida",10,"W","won",2,"2","3",10,0,0,0
"1314",0,"JPN",0,"Hong Kong",0,"G Aruga",10,"FB","won",2,"2","3",10,0,0,0
"1315",0,"JPN",0,"Hong Kong",0,"BB Robins",10,"W","won",2,"2","3",10,0,0,0
"1316",0,"Arg",0,"Uruguay",0,"GO Camacho",10,"W","won",2,"1","2",10,0,0,0
"1317",0,"Arg",0,"Uruguay",0,"JI Gauthier",10,"C","won",2,"1","2",10,0,0,0
"1318",0,"Arg",0,"Uruguay",0,"RL Maria",10,"H","won",2,"1","2",10,0,0,0
"1319",0,"Fiji",0,"Samoa",0,"T Nagusa",10,"W","won",2,"2","2",10,0,0,0
"1321",2,"Eng",0,"New Zealand",2,"OJ Barkley",10,"C","lost",0,"1","1",0,4,6,0
"1322",0,"Eng",0,"New Zealand",0,"TO Ojo",10,"W","lost",2,"1","1",10,0,0,0
"1323",0,"SA",0,"Wales",0,"J de Villiers",10,"C","won",2,"1","1",10,0,0,0
"1324",2,"Georg",0,"Uruguay",2,"L Malaguradze",10,"FH","won",0,"2","2",0,4,6,0
"1325",0,"SA",0,"Italy",0,"BW du Plessis",10,"H","won",2,"1","1",10,0,0,0
"1326",0,"Can",0,"USA",0,"N Dala",10,"F","won",2,"2","2",10,0,0,0
"1327",0,"Can",0,"USA",0,"RJ Smith",10,"C","won",2,"2","2",10,0,0,0
"1328",2,"Samoa",0,"Tonga",2,"GL Williams",10,"FB","won",0,"2","2",0,4,6,0
"1329",0,"Aust",0,"France",0,"RP Cross",10,"C","won",2,"1","1",10,0,0,0
"1330",0,"NZ",0,"Australia",0,"MA Nonu",10,"C","won",2,"1","1",10,0,0,0
"1331",0,"NZ",0,"Australia",0,"TD Woodcock",10,"P","won",2,"1","1",10,0,0,0
"1332",0,"SA",0,"Argentina",0,"JPR Pietersen",10,"W","won",2,"1","1",10,0,0,0
"1333",0,"SA",0,"Argentina",0,"JC van Niekerk",10,"F","won",2,"1","1",10,0,0,0
"1334",0,"SA",0,"Australia",0,"AA Jacobs",10,"C","lost",2,"1","1",10,0,0,0
"1335",0,"NZ",0,"Samoa",0,"RD Kahui",10,"W","won",2,"1","2",10,0,0,0
"1336",0,"NZ",0,"Samoa",0,"CG Smith",10,"C","won",2,"1","2",10,0,0,0
"1337",0,"Aust",0,"New Zealand",0,"DA Mitchell",10,"W","lost",2,"1","1",10,0,0,0
"1338",2,"SA",0,"Wales",2,"R Pienaar",10,"FH","won",0,"1","1",0,4,6,0
"1340",0,"Ire",0,"Canada",0,"TJ Bowe",10,"W","won",2,"1","2",10,0,0,0
"1341",2,"NZ",0,"Scotland",2,"SR Donald",10,"FH","won",0,"1","1",0,4,6,0
"1342",0,"Ire",0,"Canada",0,"RDJ Kearney",10,"W","won",2,"1","2",10,0,0,0
"1343",0,"Wales",0,"Canada",0,"SL Halfpenny",10,"W","won",2,"1","2",10,0,0,0
"1344",2,"PI",0,"Italy",2,"S Baikeinuku",10,"FH","won",0,"3","1",0,4,6,0
"1345",0,"PI",0,"Italy",0,"V Delasau",10,"W","won",2,"3","1",10,0,0,0
"1346",0,"Scot",0,"Canada",0,"N Walker",10,"W","won",2,"1","2",10,0,0,0
"1347",0,"NZ",0,"England",0,"JM Muliaina",10,"FB","won",2,"1","1",10,0,0,0
"1348",0,"Georg",0,"Germany",0,"M Gorgodze",10,"N8","won",2,"2","2",10,0,0,0
"1349",0,"Eng",0,"Italy",0,"HA Ellis",10,"SH","won",2,"1","1",10,0,0,0
"1350",2,"Georg",0,"Portugal",2,"M Kvirikashvili",10,"FB","draw",0,"2","2",0,4,6,0
"1351",2,"Port",0,"Georgia",2,"PMDC Leal",10,"FB","draw",0,"2","2",0,4,6,0
"1352",0,"Ire",0,"Italy",0,"LM Fitzgerald",10,"W","won",2,"1","1",10,0,0,0
"1353",2,"Port",0,"Germany",2,"PPDC Cabral",10,"FH","won",0,"2","2",0,4,6,0
"1354",0,"Russ",0,"Romania",0,"A Gvozdovsky",10,"W","won",2,"2","2",10,0,0,0
"1355",2,"Russ",0,"Romania",2,"Y Kushnarev",10,"FH","won",0,"2","2",0,4,6,0
"1356",0,"Georg",0,"Spain",0,"M Gorgodze",10,"N8","won",2,"2","2",10,0,0,0
"1357",0,"Rom",0,"Georgia",0,"A Barbuliceanu",10,"C","lost",2,"2","2",10,0,0,0
"1358",2,"Wales",0,"Italy",2,"JW Hook",10,"FH","won",0,"1","1",0,4,6,0
"1359",0,"Eng",0,"France",0,"RJ Flutey",10,"C","won",2,"1","1",10,0,0,0
"1360",0,"Fra",0,"Italy",0,"M Medard",10,"W","won",2,"1","1",10,0,0,0
"1361",0,"Russ",0,"Georgia",0,"A Gvozdovsky",10,"W","lost",2,"2","2",10,0,0,0
"1362",0,"JPN",0,"Kazakhstan",0,"Y Imamura",10,"C","won",2,"2","3",10,0,0,0
"1363",0,"Urug",0,"Brazil",0,"SJ Gibernau Arredondo",10,"W","won",2,"2","3",10,0,0,0
"1364",0,"Urug",0,"Brazil",0,"J Pastore",10,"C","won",2,"2","3",10,0,0,0
"1365",0,"JPN",0,"Hong Kong",0,"K Hatakeyama",10,"P","won",2,"2","3",10,0,0,0
"1366",0,"JPN",0,"Korea",0,"JCR Tarrant",10,"FB","won",2,"2","3",10,0,0,0
"1367",0,"Arg",0,"Chile",0,"B Agulla",10,"W","won",2,"1","3",10,0,0,0
"1368",0,"Arg",0,"Chile",0,"R Bruno",10,"F","won",2,"1","3",10,0,0,0
"1369",0,"JPN",0,"Singapore",0,"T Kikutani",10,"F","won",2,"2","3",10,0,0,0
"1370",0,"JPN",0,"Singapore",0,"H Ono",10,"L","won",2,"2","3",10,0,0,0
"1371",5,"JPN",0,"Singapore",0,"H Yoshida",10,"W","won",0,"2","3",0,10,0,0
"1372",2,"Ire",0,"Canada",2,"IJ Keatley",10,"FH","won",0,"1","2",0,4,6,0
"1373",0,"Eng",0,"Argentina",0,"DA Armitage",10,"FB","won",2,"1","1",10,0,0,0
"1374",0,"Wales",0,"USA",0,"JJV Davies",10,"C","won",2,"1","2",10,0,0,0
"1375",0,"Can",0,"Georgia",0,"MC Evans",10,"W","won",2,"2","2",10,0,0,0
"1376",0,"Fiji",0,"Tonga",0,"T Nagusa",10,"W","won",2,"2","2",10,0,0,0
"1377",0,"Aust",0,"Italy",0,"AP Ashley-Cooper",10,"W","won",2,"1","1",10,0,0,0
"1378",0,"Lions",0,"South Africa",0,"TR Croft",10,"F","lost",2,"Lions","1",10,0,0,0
"1379",0,"JPN",0,"Tonga",0,"SJ Webb",10,"FB","won",2,"2","2",10,0,0,0
"1380",2,"SA",0,"Lions",2,"M Steyn",10,"FH","won",0,"1","Lions/Barb",0,4,6,0
"1381",0,"JPN",0,"Fiji",0,"T Kikutani",10,"N8","lost",2,"2","2",10,0,0,0
"1382",0,"Lions",0,"South Africa",0,"SM Williams",10,"W","won",2,"Lions","1",10,0,0,0
"1383",0,"Samoa",0,"PNG",0,"AJF Williams",10,"H","won",2,"2","3",10,0,0,0
"1384",0,"Samoa",0,"PNG",0,"E Fuimaono-Sapolu",10,"C","won",2,"2","3",10,0,0,0
"1385",0,"Samoa",0,"PNG",0,"AJF Williams",10,"H","won",2,"2","3",10,0,0,0
"1386",0,"SA",0,"Australia",0,"BG Habana",10,"W","won",2,"1","1",10,0,0,0
"1387",0,"USA",0,"Uruguay",0,"K Swiryn",10,"W","won",2,"2","2",10,0,0,0
"1388",2,"Aust",0,"Ireland",2,"MJ Giteau",10,"FH","draw",0,"1","1",0,4,6,0
"1389",2,"Ire",0,"Australia",2,"RJR O'Gara",10,"FH","draw",0,"1","1",0,4,6,0
"1390",2,"SA",0,"Italy",2,"M Steyn",10,"FH","won",0,"1","1",0,4,6,0
"1391",0,"Wales",0,"Argentina",0,"SM Williams",10,"W","won",2,"1","1",10,0,0,0
"1392",0,"Fra",0,"Samoa",0,"F Trinh-Duc",10,"FH","won",2,"1","2",10,0,0,0
"1393",0,"Ire",0,"Fiji",0,"KG Earls",10,"W","won",2,"1","2",10,0,0,0
"1394",0,"USA",0,"Uruguay",0,"TS Clever",10,"F","won",2,"2","2",10,0,0,0
"1395",0,"Georg",0,"Germany",0,"I Machkhaneli",10,"W","won",2,"2","2",10,0,0,0
"1396",0,"Georg",0,"Germany",0,"G Nemsadze",10,"L","won",2,"2","2",10,0,0,0
"1397",0,"Georg",0,"Germany",0,"B Samkharadze",10,"SH","won",2,"2","2",10,0,0,0
"1398",1,"Port",0,"Russia",1,"JK Gardener",10,"FB","lost",1,"2","2",5,2,3,0
"1399",0,"Eng",0,"Wales",0,"JAW Haskell",10,"F","won",2,"1","1",10,0,0,0
"1400",0,"Fra",0,"Scotland",0,"M Bastareaud",10,"C","won",2,"1","1",10,0,0,0
"1401",0,"Rom",0,"Germany",0,"D Carpo",10,"N8","won",2,"2","2",10,0,0,0
"1402",2,"Wales",0,"France",2,"SM Jones",10,"FH","lost",0,"1","1",0,4,6,0
"1403",0,"Russ",0,"Romania",0,"A Gvozdovsky",10,"W","draw",2,"2","2",10,0,0,0
"1404",0,"Ire",0,"England",0,"TJ Bowe",10,"W","won",2,"1","1",10,0,0,0
"1405",0,"Russ",0,"Germany",0,"V Ostrushko",10,"W","won",2,"2","2",10,0,0,0
"1406",0,"Ire",0,"Wales",0,"KG Earls",10,"W","won",2,"1","1",10,0,0,0
"1407",2,"Italy",0,"France",2,"M Bergamasco",10,"W","lost",0,"1","1",0,4,6,0
"1408",0,"Fra",0,"Italy",0,"D Marty",10,"C","won",2,"1","1",10,0,0,0
"1409",0,"Spain",0,"Germany",0,"ME Heredia Federico",10,"C","won",2,"2","2",10,0,0,0
"1410",0,"Wales",0,"Italy",0,"JW Hook",10,"C","won",2,"1","1",10,0,0,0
"1411",2,"Rom",0,"Portugal",2,"DM Dumbrava",10,"FH","won",0,"2","2",0,4,6,0
"1412",0,"Rom",0,"Spain",0,"I Dumitras",10,"FH","won",2,"2","2",10,0,0,0
"1413",0,"JPN",0,"Arabian Gulf",0,"T Kikutani",10,"N8","won",2,"2","3",10,0,0,0
"1414",0,"JPN",0,"Arabian Gulf",0,"A Tupuailei",10,"C","won",2,"2","3",10,0,0,0
"1415",0,"JPN",0,"Kazakhstan",0,"Y Nagatomo",10,"W","won",2,"2","3",10,0,0,0
"1416",0,"JPN",0,"Kazakhstan",0,"G Tachikawa",10,"FB","won",2,"2","3",10,0,0,0
"1417",0,"JPN",0,"Kazakhstan",0,"K Taira",10,"C","won",2,"2","3",10,0,0,0
"1418",0,"JPN",0,"Kazakhstan",0,"A Tupuailei",10,"C","won",2,"2","3",10,0,0,0
"1419",0,"JPN",0,"Kazakhstan",0,"ST Vatuvei",10,"F","won",2,"2","3",10,0,0,0
"1420",0,"Urug",0,"Paraguay",0,"A Corral",10,"P","won",2,"2","3",10,0,0,0
"1421",0,"Urug",0,"Paraguay",0,"MA Espiga Telleria",10,"F","won",2,"2","3",10,0,0,0
"1422",0,"JPN",0,"Hong Kong",0,"K Endo",10,"W","won",2,"2","3",10,0,0,0
"1423",0,"JPN",0,"Hong Kong",0,"F Tanaka",10,"SH","won",2,"2","3",10,0,0,0
"1424",0,"Arg",0,"Chile",0,"JJ Imhoff",10,"W","won",2,"1","3",10,0,0,0
"1425",0,"Aust",0,"Fiji",0,"KJ Beale",10,"FB","won",2,"1","2",10,0,0,0
"1426",0,"Aust",0,"Fiji",0,"DAN Ioane",10,"W","won",2,"1","2",10,0,0,0
"1427",0,"Rom",0,"Ukraine",0,"SE Ciuntu",10,"W","won",2,"2","3",10,0,0,0
"1428",0,"Rom",0,"Ukraine",0,"C Fercu",10,"W","won",2,"2","3",10,0,0,0
"1429",0,"Can",0,"Uruguay",0,"DTH van der Merwe",10,"C","won",2,"2","2",10,0,0,0
"1430",0,"USA",0,"Russia",0,"CT Wyles",10,"FB","won",2,"2","2",10,0,0,0
"1431",0,"NZ",0,"Ireland",0,"QJ Cowan",10,"SH","won",2,"1","1",10,0,0,0
"1432",0,"NZ",0,"Ireland",0,"CG Smith",10,"C","won",2,"1","1",10,0,0,0
"1433",0,"NZ",0,"Ireland",0,"SL Whitelock",10,"L","won",2,"1","1",10,0,0,0
"1434",0,"SA",0,"France",0,"GG Aplon",10,"W","won",2,"1","1",10,0,0,0
"1435",0,"Russ",0,"Uruguay",0,"V Gresev",10,"F","won",2,"2","2",10,0,0,0
"1436",0,"JPN",0,"Samoa",0,"RT Nicholas",10,"C","won",2,"2","2",10,0,0,0
"1437",0,"Tonga",0,"Fiji",0,"VF Lilo",10,"FB","lost",2,"2","2",10,0,0,0
"1438",0,"Samoa",0,"Fiji",0,"A Faosiliva",10,"N8","won",2,"2","2",10,0,0,0
"1439",0,"NZ",0,"Australia",0,"JM Muliaina",10,"FB","won",2,"1","1",10,0,0,0
"1440",2,"NZ",0,"Australia",2,"DW Carter",10,"FH","won",0,"1","1",0,4,6,0
"1441",0,"Aust",0,"South Africa",0,"JD O'Connor",10,"W","lost",2,"1","1",10,0,0,0
"1443",0,"JPN",0,"Russia",0,"BB Robins",10,"FH","won",2,"2","2",10,0,0,0
"1444",0,"JPN",0,"Russia",0,"K Taira",10,"C","won",2,"2","2",10,0,0,0
"1445",2,"Aust",0,"Wales",2,"JD O'Connor",10,"W","won",0,"1","1",0,4,6,0
"1446",0,"Can",0,"Belgium",0,"P Riordan",10,"H","won",2,"2","3",10,0,0,0
"1447",0,"Eng",0,"Australia",0,"CJ Ashton",10,"W","won",2,"1","1",10,0,0,0
"1448",0,"Aust",0,"England",0,"KJ Beale",10,"FB","lost",2,"1","1",10,0,0,0
"1449",2,"Wales",0,"South Africa",2,"SM Jones",10,"FH","lost",0,"1","1",0,4,6,0
"1450",0,"Wales",0,"South Africa",0,"GP North",10,"W","lost",2,"1","1",10,0,0,0
"1451",0,"Can",0,"Spain",0,"TF Paris",10,"W","won",2,"2","2",10,0,0,0
"1452",0,"NZ",0,"Scotland",0,"HE Gear",10,"W","won",2,"1","1",10,0,0,0
"1453",0,"NZ",0,"Scotland",0,"JM Muliaina",10,"FB","won",2,"1","1",10,0,0,0
"1454",0,"NZ",0,"Ireland",0,"KJ Read",10,"N8","won",2,"1","1",10,0,0,0
"1455",2,"Port",0,"Canada",2,"JK Gardener",10,"FH","lost",0,"2","2",0,4,6,0
"1456",0,"NZ",0,"Wales",0,"HE Gear",10,"W","won",2,"1","1",10,0,0,0
"1457",0,"Eng",0,"Wales",0,"CJ Ashton",10,"W","won",2,"1","1",10,0,0,0
"1458",0,"Georg",0,"Ukraine",0,"D Kacharava",10,"C","won",2,"2","3",10,0,0,0
"1459",5,"Georg",0,"Ukraine",0,"M Kvirikashvili",10,"FH","won",0,"2","3",0,10,0,0
"1460",2,"Russ",0,"Spain",2,"Y Kushnarev",10,"FH","won",0,"2","2",0,4,6,0
"1461",0,"Russ",0,"Portugal",0,"V Artemyev",10,"W","lost",2,"2","2",10,0,0,0
"1462",0,"Georg",0,"Spain",0,"T Zibzibadze",10,"C","won",2,"2","2",10,0,0,0
"1463",0,"Wales",0,"Scotland",0,"SM Williams",10,"W","won",2,"1","1",10,0,0,0
"1464",5,"Spain",0,"Ukraine",0,"S Aubanell Sevilla",10,"FB","won",0,"2","3",0,10,0,0
"1465",0,"Spain",0,"Ukraine",0,"F Rofes",10,"H","won",2,"2","3",10,0,0,0
"1466",0,"Germ",0,"Belgium",0,"PJ Jordaan",10,"C","lost",2,"2","3",10,0,0,0
"1467",0,"Rom",0,"Spain",0,"VN Calafeteanu",10,"SH","won",2,"2","2",10,0,0,0
"1468",0,"Rom",0,"Spain",0,"I Dumitras",10,"FB","won",2,"2","2",10,0,0,0
"1469",0,"Fra",0,"Wales",0,"L Nallet",10,"L","won",2,"1","1",10,0,0,0
"1470",5,"JPN",0,"Hong Kong",0,"RT Nicholas",10,"C","won",0,"2","3",0,10,0,0
"1471",0,"JPN",0,"UAE",0,"K Endo",10,"W","won",2,"2","3",10,0,0,0
"1472",0,"JPN",0,"UAE",0,"SJ Webb",10,"C","won",2,"2","3",10,0,0,0
"1473",0,"Urug",0,"Paraguay",0,"A Avalo",10,"H","won",2,"2","3",10,0,0,0
"1474",0,"Urug",0,"Paraguay",0,"A Roman",10,"C","won",2,"2","3",10,0,0,0
"1475",0,"JPN",0,"Sri Lanka",0,"T Kikutani",10,"F","won",2,"2","3",10,0,0,0
"1476",0,"JPN",0,"Sri Lanka",0,"F Tanaka",10,"SH","won",2,"2","3",10,0,0,0
"1477",0,"Arg",0,"Chile",0,"B Agulla",10,"W","won",2,"1","3",10,0,0,0
"1478",0,"Arg",0,"Uruguay",0,"R Moyano Joya",10,"FB","won",2,"1","2",10,0,0,0
"1479",0,"Arg",0,"Uruguay",0,"W Weiss",10,"C","won",2,"1","2",10,0,0,0
"1480",2,"Port",0,"Namibia",2,"PPDC Cabral",10,"FH","lost",0,"2","2",0,4,6,0
"1481",2,"Russ",0,"USA",2,"Y Kushnarev",10,"FH","lost",0,"2","2",0,4,6,0
"1482",0,"Samoa",0,"Japan",0,"AT Tuilagi",10,"W","won",2,"2","2",10,0,0,0
"1483",0,"Fiji",0,"Japan",0,"NV Nalaga",10,"W","lost",2,"2","2",10,0,0,0
"1484",2,"NZ",0,"South Africa",2,"DW Carter",10,"FH","won",0,"1","1",0,4,6,0
"1485",0,"NZ",0,"South Africa",0,"ZR Guildford",10,"W","won",2,"1","1",10,0,0,0
"1486",0,"NZ",0,"South Africa",0,"CS Jane",10,"W","won",2,"1","1",10,0,0,0
"1487",0,"Wales",0,"England",0,"GP North",10,"W","lost",2,"1","1",10,0,0,0
"1488",0,"USA",0,"Canada",0,"TS Clever",10,"F","lost",2,"2","2",10,0,0,0
"1489",0,"Tonga",0,"Fiji",0,"VV Iongi",10,"FB","lost",2,"2","2",10,0,0,0
"1490",2,"Fiji",0,"Tonga",2,"WS Luveniyali",10,"FH","lost",0,"2","2",0,4,6,0
"1491",0,"USA",0,"Japan",0,"K Swiryn",10,"W","lost",2,"2","2",10,0,0,0
"1492",2,"NZ",0,"Australia",2,"DW Carter",10,"FH","lost",0,"1","1",0,4,6,0
"1493",2,"Aust",0,"New Zealand",2,"QS Cooper",10,"FH","won",0,"1","1",0,4,6,0
"1494",2,"Eng",0,"Ireland",2,"JP Wilkinson",10,"FH","won",0,"1","1",0,4,6,0
"1495",0,"NZ",0,"Tonga",0,"IJA Dagg",10,"FB","won",2,"1","2",10,0,0,0
"1496",0,"NZ",0,"Tonga",0,"RD Kahui",10,"W","won",2,"1","2",10,0,0,0
"1497",0,"Scot",0,"Romania",0,"SCJ Danielli",10,"W","won",2,"1","2",10,0,0,0
"1498",0,"Ire",0,"USA",0,"TJ Bowe",10,"W","won",2,"1","2",10,0,0,0
"1499",2,"Samoa",0,"Namibia",2,"T Pisi",10,"FH","won",0,"2","2",0,4,6,0
"1500",2,"Tonga",0,"Canada",2,"KS Morath",10,"FB","lost",0,"2","2",0,4,6,0
"1501",0,"Tonga",0,"Canada",0,"SV Piutau",10,"C","lost",2,"2","2",10,0,0,0
"1502",2,"Can",0,"Tonga",2,"J Pritchard",10,"FB","won",0,"2","2",0,4,6,0
"1503",0,"NZ",0,"Japan",0,"RD Kahui",10,"W","won",2,"1","2",10,0,0,0
"1504",0,"NZ",0,"Japan",0,"S Williams",10,"W","won",2,"1","2",10,0,0,0
"1505",0,"Eng",0,"Georgia",0,"CJ Ashton",10,"W","won",2,"1","2",10,0,0,0
"1506",0,"Eng",0,"Georgia",0,"SE Hape",10,"C","won",2,"1","2",10,0,0,0
"1507",0,"Italy",0,"Russia",0,"T Benvenuti",10,"C","won",2,"1","2",10,0,0,0
"1508",0,"Italy",0,"Russia",0,"G Toniolatti",10,"W","won",2,"1","2",10,0,0,0
"1509",0,"SA",0,"Namibia",0,"GG Aplon",10,"W","won",2,"1","2",10,0,0,0
"1510",0,"SA",0,"Namibia",0,"JL de Jongh",10,"C","won",2,"1","2",10,0,0,0
"1511",0,"SA",0,"Namibia",0,"F Hougaard",10,"SH","won",2,"1","2",10,0,0,0
"1512",0,"Aust",0,"USA",0,"AS Fainga'a",10,"C","won",2,"1","2",10,0,0,0
"1513",0,"NZ",0,"France",0,"IJA Dagg",10,"FB","won",2,"1","1",10,0,0,0
"1514",0,"Ire",0,"Russia",0,"KG Earls",10,"C","won",2,"1","2",10,0,0,0
"1515",0,"Wales",0,"Namibia",0,"GP North",10,"W","won",2,"1","2",10,0,0,0
"1516",1,"USA",0,"Italy",1,"CT Wyles",10,"FB","lost",1,"2","1",5,2,3,0
"1517",0,"Aust",0,"Russia",0,"BS Barnes",10,"C","won",2,"1","2",10,0,0,0
"1518",0,"Aust",0,"Russia",0,"DA Mitchell",10,"W","won",2,"1","2",10,0,0,0
"1519",0,"Aust",0,"Russia",0,"DW Pocock",10,"F","won",2,"1","2",10,0,0,0
"1520",0,"NZ",0,"Canada",0,"J Kaino",10,"F","won",2,"1","2",10,0,0,0
"1521",0,"Can",0,"New Zealand",0,"CA Trainor",10,"W","lost",2,"2","1",10,0,0,0
"1522",0,"NZ",0,"Canada",0,"VVJ Vito",10,"F","won",2,"1","2",10,0,0,0
"1523",0,"Wales",0,"Fiji",0,"JH Roberts",10,"C","won",2,"1","2",10,0,0,0
"1524",0,"Ire",0,"Italy",0,"KG Earls",10,"W","won",2,"1","1",10,0,0,0
"1525",2,"Fra",0,"Italy",2,"D Yachvili",10,"SH","won",0,"1","1",0,4,6,0
"1526",0,"Wales",0,"Ireland",0,"JJV Davies",10,"C","won",2,"1","1",10,0,0,0
"1527",0,"Port",0,"Russia",0,"GFG Foro",10,"W","lost",2,"2","2",10,0,0,0
"1528",0,"Russ",0,"Portugal",0,"V Ostrushko",10,"W","won",2,"2","2",10,0,0,0
"1529",2,"Spain",0,"Georgia",2,"M Peluchon Carrero",10,"FB","won",0,"2","2",0,4,6,0
"1530",0,"Spain",0,"Georgia",0,"C Sempere Padilla",10,"C","won",2,"2","2",10,0,0,0
"1531",0,"Spain",0,"Ukraine",0,"M Visensang",10,"N8","won",2,"2","3",10,0,0,0
"1532",0,"Ire",0,"Italy",0,"TJ Bowe",10,"W","won",2,"1","1",10,0,0,0
"1533",2,"Fra",0,"Scotland",2,"MRJ Parra",10,"SH","won",0,"1","1",0,4,6,0
"1534",0,"Ire",0,"France",0,"TJ Bowe",10,"W","draw",2,"1","1",10,0,0,0
"1535",0,"Germ",0,"Czech Rep",0,"T Kasten",10,"F","won",2,"2","3",10,0,0,0
